ticker,event_date,setup_type,spike_return,vol_x_sma50
LLY,2021-06-07,s03_catalyst_rerating,0.1015,5.24
LYV,2020-03-13,s03_catalyst_rerating,0.1837,3.08
LYV,2020-11-09,s03_catalyst_rerating,0.1485,6.54
LULU,2023-10-16,s03_catalyst_rerating,0.1031,7.69
LITE,2023-05-26,s03_catalyst_rerating,0.1175,3.21
LYB,2025-04-09,s03_catalyst_rerating,0.124,3.21
MTB,2020-11-09,s03_catalyst_rerating,0.251,3.0
MAR,2020-03-20,s03_catalyst_rerating,0.1165,3.92
MLM,2016-11-09,s03_catalyst_rerating,0.1157,4.48
MRVL,2016-04-05,s03_catalyst_rerating,0.131,4.1
MRVL,2016-07-20,s03_catalyst_rerating,0.1411,5.17
MRVL,2016-11-18,s03_catalyst_rerating,0.1078,5.07
MRVL,2026-06-02,s03_catalyst_rerating,0.3252,3.78
MGM,2020-03-10,s03_catalyst_rerating,0.1628,4.7
MGM,2026-06-01,s03_catalyst_rerating,0.1608,5.27
MRNA,2020-02-07,s03_catalyst_rerating,0.169,3.62
MRNA,2020-03-16,s03_catalyst_rerating,0.2437,3.32
MRNA,2020-05-18,s03_catalyst_rerating,0.1996,4.45
MRNA,2020-07-17,s03_catalyst_rerating,0.1594,3.8
MRNA,2020-11-27,s03_catalyst_rerating,0.1635,3.77
MRNA,2021-07-16,s03_catalyst_rerating,0.103,4.5
MRNA,2022-12-13,s03_catalyst_rerating,0.1963,5.3
MRNA,2025-10-30,s03_catalyst_rerating,0.1393,4.23
MPWR,2023-05-25,s03_catalyst_rerating,0.1746,3.86
NFLX,2022-01-31,s03_catalyst_rerating,0.1113,3.09
NFLX,2026-02-27,s03_catalyst_rerating,0.1377,4.08
NOC,2023-10-09,s03_catalyst_rerating,0.1143,3.82
NCLH,2020-03-13,s03_catalyst_rerating,0.1503,7.7
NCLH,2026-02-17,s03_catalyst_rerating,0.1215,3.04
NRG,2017-07-12,s03_catalyst_rerating,0.2939,8.88
NVDA,2021-11-04,s03_catalyst_rerating,0.1204,4.44
