ticker,event_date,setup_type,adsh,company_name
ARMK,2023-05-09,s05_spinoff,0001584509-23-000106,Aramark  (ARMK)  (CIK 0001584509)
ARMK,2023-02-07,s05_spinoff,0001584509-23-000032,Aramark  (ARMK)  (CIK 0001584509)
ADEA,2022-09-08,s05_spinoff,0001193125-22-240678,Xperi Holding Corp  (ADEA)  (CIK 0001803696)
MIDD,2026-02-02,s05_spinoff,0001193125-26-033775,MIDDLEBY Corp  (MIDD)  (CIK 0000769520)
VYX,2024-02-29,s05_spinoff,0000070866-24-000004,"NCR VOYIX Corp  (VYX, NCRRP)  (CIK 0000070866)"
Q,2025-10-15,s05_spinoff,0001193125-25-240313,"Qnity Electronics, Inc.  (CIK 0002058873)"
ARMK,2024-02-06,s05_spinoff,0001584509-24-000043,Aramark  (ARMK)  (CIK 0001584509)
WDC,2025-02-03,s05_spinoff,0001193125-25-019294,WESTERN DIGITAL CORP  (WDC)  (CIK 0000106040)
MRP,2025-02-07,s05_spinoff,0001193125-25-022336,"Millrose Properties, Inc.  (MRP)  (CIK 0002017206)"
MRP,2025-05-14,s05_spinoff,0001193125-25-119428,"Millrose Properties, Inc.  (MRP)  (CIK 0002017206)"
CR,2023-03-08,s05_spinoff,0001193125-23-064671,Crane Co  (CR)  (CIK 0001944013)
HON,2025-12-22,s05_spinoff,0000773840-25-000125,HONEYWELL INTERNATIONAL INC  (HON)  (CIK 0000773840)
SOLV,2025-08-07,s05_spinoff,0001964738-25-000062,Solventum Corp  (SOLV)  (CIK 0001964738)
ARMK,2023-11-14,s05_spinoff,0001584509-23-000225,Aramark  (ARMK)  (CIK 0001584509)
FFAI,2025-09-12,s05_spinoff,0001213900-25-087290,"FARADAY FUTURE INTELLIGENT ELECTRIC INC.  (FFAI, FFAIW)  (CIK 0001805521)"
ARMK,2022-08-09,s05_spinoff,0001584509-22-000152,Aramark  (ARMK)  (CIK 0001584509)
LBRDA,2025-07-15,s05_spinoff,0001104659-25-067806,"Liberty Broadband Corp  (LBDAV, LBDKV, LBRDA, LBRDB, LBRDK, LBRDP)  (CIK 0001611983)"
LGL,2022-09-02,s05_spinoff,0001564590-22-030818,"LGL GROUP INC  (LGL, LGL-WT)  (CIK 0000061004)"
ENVB,2022-05-11,s05_spinoff,0001493152-22-012822,"Enveric Biosciences, Inc.  (ENVB)  (CIK 0000890821)"
DELL,2021-09-20,s05_spinoff,0001193125-21-276810,Dell Technologies Inc.  (DELL)  (CIK 0001571996)
DELL,2021-11-01,s05_spinoff,0001193125-21-315488,Dell Technologies Inc.  (DELL)  (CIK 0001571996)
AMCR,2025-04-30,s05_spinoff,0001104659-25-042520,"Amcor plc  (AMCR, AMCCF)  (CIK 0001748790)"
LGL,2022-10-12,s05_spinoff,0001564590-22-034098,"LGL GROUP INC  (LGL, LGL-WT)  (CIK 0000061004)"
QXO,2023-12-04,s05_spinoff,0001213900-23-092337,"SilverSun Technologies, Inc.  (QXO)  (CIK 0001236275)"
ORMP,2025-02-11,s05_spinoff,0001213900-25-012244,ORAMED PHARMACEUTICALS INC.  (ORMP)  (CIK 0001176309)
GPGI,2025-02-10,s05_spinoff,0001104659-25-010752,"CompoSecure, Inc.  (CMPO, CMPOW)  (CIK 0001823144)"
BWA,2023-07-10,s05_spinoff,0000908255-23-000036,BORGWARNER INC  (BWA)  (CIK 0000908255)
STRZ,2025-05-07,s05_spinoff,0001193125-25-114510,"LIONS GATE ENTERTAINMENT CORP /CN/  (LGF-A, LGF-B)  (CIK 0000929351)"
HHH,2024-08-01,s05_spinoff,0001104659-24-084903,Howard Hughes Holdings Inc.  (HHH)  (CIK 0001981792)
WOR,2023-12-05,s05_spinoff,0001193125-23-289222,"WORTHINGTON ENTERPRISES, INC.  (WOR)  (CIK 0000108516)"
LVWR,2022-09-30,s05_spinoff,0001193125-22-255710,"LiveWire Group, Inc.  (LVWR, LVWR-WT)  (CIK 0001898795)"
JNJ,2023-05-08,s05_spinoff,0001193125-23-138287,JOHNSON & JOHNSON  (JNJ)  (CIK 0000200406)
ZD,2021-10-08,s05_spinoff,0001193125-21-294838,"ZIFF DAVIS, INC.  (ZD)  (CIK 0001084048)"
HOG,2022-09-30,s05_spinoff,0001193125-22-255719,"HARLEY-DAVIDSON, INC.  (HOG)  (CIK 0000793952)"
GEO,2023-12-05,s05_spinoff,0001193125-23-289201,GEO GROUP INC  (GEO)  (CIK 0000923796)
ALKS,2023-11-15,s05_spinoff,0000950170-23-064005,Alkermes plc.  (ALKS)  (CIK 0001520262)
PCT,2021-12-15,s05_spinoff,0001104659-21-150082,"PureCycle Technologies, Inc.  (PCT, PCTTU, PCTTW)  (CIK 0001830033)"
KVUE,2023-05-08,s05_spinoff,0001628280-23-016423,Kenvue Inc.  (KVUE)  (CIK 0001944048)
AMD,2023-02-21,s05_spinoff,0000002488-23-000042,ADVANCED MICRO DEVICES INC  (AMD)  (CIK 0000002488)
SNES,2023-01-05,s05_spinoff,0001213900-23-001153,"SenesTech, Inc.  (SNES)  (CIK 0001680378)"
WGS,2022-01-31,s05_spinoff,0001818331-22-000022,"Sema4 Holdings Corp.  (WGS, WGSWW)  (CIK 0001818331)"
GNLN,2022-03-10,s05_spinoff,0001743745-22-000007,"Greenlane Holdings, Inc.  (GNLN)  (CIK 0001743745)"
NEOG,2022-09-01,s05_spinoff,0001140361-22-032001,NEOGEN CORP  (NEOG)  (CIK 0000711377)
OLOX,2023-09-28,s05_spinoff,0001213900-23-080466,SAFE & GREEN HOLDINGS CORP.  (SGBX)  (CIK 0001023994)
ZNTL,2022-05-16,s05_spinoff,0001193125-22-150883,"Zentalis Pharmaceuticals, Inc.  (ZNTL)  (CIK 0001725160)"
SYM,2023-10-02,s05_spinoff,0001193125-23-249095,Symbotic Inc.  (SYM)  (CIK 0001837240)
RENX,2023-09-28,s05_spinoff,0001213900-23-080468,Safe & Green Development Corp  (SGD)  (CIK 0001959023)
EQT,2023-02-13,s05_spinoff,0001104659-23-019723,EQT Corp  (EQT)  (CIK 0000033213)
CON,2024-08-01,s05_spinoff,0001104659-24-084490,"Concentra Group Holdings Parent, Inc.  (CON)  (CIK 0002014596)"
BYRN,2026-06-18,s05_spinoff,0001437749-26-021173,Byrna Technologies Inc.  (BYRN)  (CIK 0001354866)
WBD,2025-06-16,s05_spinoff,0001437107-25-000153,"Warner Bros. Discovery, Inc.  (WBD)  (CIK 0001437107)"
WBD,2025-06-17,s05_spinoff,0001437107-25-000157,"Warner Bros. Discovery, Inc.  (WBD)  (CIK 0001437107)"
BFH,2021-11-08,s05_spinoff,0001101215-21-000188,ALLIANCE DATA SYSTEMS CORP  (BFH)  (CIK 0001101215)
MMED,2026-03-09,s05_spinoff,0001628280-26-016018,"MiniMed Group, Inc.  (MMED)  (CIK 0002062583)"
FNKO,2024-03-07,s05_spinoff,0001704711-24-000011,"Funko, Inc.  (FNKO)  (CIK 0001704711)"
SYM,2025-06-09,s05_spinoff,0001193125-25-137836,Symbotic Inc.  (SYM)  (CIK 0001837240)
RYAM,2022-01-20,s05_spinoff,0001597672-22-000004,RAYONIER ADVANCED MATERIALS INC.  (RYAM)  (CIK 0001597672)
PBI,2025-09-26,s05_spinoff,0001628280-25-042941,"PITNEY BOWES INC /DE/  (PBI, PBI-PB)  (CIK 0000078814)"
CURB,2024-10-01,s05_spinoff,0001193125-24-230147,"Curbline Properties Corp.  (CURB, CURB-WI)  (CIK 0002027317)"
AIG,2022-09-20,s05_spinoff,0001104659-22-101574,"AMERICAN INTERNATIONAL GROUP, INC.  (AIG)  (CIK 0000005272)"
INVX,2021-09-02,s05_spinoff,0001193125-21-263447,DRIL-QUIP INC  (DRQ)  (CIK 0001042893)
FTAI,2022-08-01,s05_spinoff,0001140361-22-027698,"Fortress Transportation & Infrastructure Investors LLC  (FTAI, FTAIM, FTAIN, FTAIO, FTAIP)  (CIK 0001590364)"
DAKT,2026-01-21,s05_spinoff,0001628280-26-002798,DAKTRONICS INC /SD/  (DAKT)  (CIK 0000915779)
ANVS,2022-09-12,s05_spinoff,0001104659-22-099298,"Annovis Bio, Inc.  (ANVS)  (CIK 0001477845)"
BHC,2022-03-31,s05_spinoff,0001193125-22-090302,Bausch Health Companies Inc.  (BHC)  (CIK 0000885590)
VYGR,2023-02-23,s05_spinoff,0001104659-23-024436,"Voyager Therapeutics, Inc.  (VYGR)  (CIK 0001640266)"
PPL,2025-01-15,s05_spinoff,0000922224-25-000004,PPL Corp  (PPL)  (CIK 0000922224)
SEM,2024-08-01,s05_spinoff,0001104659-24-084488,SELECT MEDICAL HOLDINGS CORP  (SEM)  (CIK 0001320414)
OWLT,2022-08-11,s05_spinoff,0001628280-22-022454,"Owlet, Inc.  (OWLT, OWLTW)  (CIK 0001816708)"
HLLY,2026-04-08,s05_spinoff,0001140361-26-013763,"Holley Inc.  (HLLY, HLLY-WT)  (CIK 0001822928)"
VRM,2022-07-01,s05_spinoff,0000950170-22-012432,"Vroom, Inc.  (VRM)  (CIK 0001580864)"
MHH,2023-12-01,s05_spinoff,0001193125-23-287442,"Mastech Digital, Inc.  (MHH)  (CIK 0001437226)"
LOCO,2022-06-21,s05_spinoff,0001606366-22-000042,"El Pollo Loco Holdings, Inc.  (LOCO)  (CIK 0001606366)"
WDC,2025-02-26,s05_spinoff,0000106040-25-000012,"WESTERN DIGITAL CORP  (WDC, WDCVV)  (CIK 0000106040)"
SKIN,2024-11-12,s05_spinoff,0001628280-24-047098,Beauty Health Co  (SKIN)  (CIK 0001818093)
FTV,2025-06-30,s05_spinoff,0001659166-25-000104,Fortive Corp  (FTV)  (CIK 0001659166)
ADEA,2022-10-06,s05_spinoff,0001193125-22-258605,Adeia Inc.  (ADEA)  (CIK 0001803696)
SPWH,2025-08-05,s05_spinoff,0000950170-25-103059,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.  (SPWH)  (CIK 0001132105)"
SHEN,2021-07-30,s05_spinoff,0001171843-21-005320,SHENANDOAH TELECOMMUNICATIONS CO/VA/  (SHEN)  (CIK 0000354963)
ENOV,2022-04-08,s05_spinoff,0001193125-22-100359,Enovis CORP  (ENOV)  (CIK 0001420800)
GRI,2023-04-21,s05_spinoff,0001824293-23-000073,"Vallon Pharmaceuticals, Inc.  (GRI)  (CIK 0001824293)"
AVAH,2024-01-17,s05_spinoff,0000950170-24-004820,"Aveanna Healthcare Holdings, Inc.  (AVAH)  (CIK 0001832332)"
BKSY,2021-08-18,s05_spinoff,0001193125-21-250589,"Osprey Technology Acquisition Corp.  (BKSY, BKSY-WT)  (CIK 0001753539)"
