ticker,event_date,setup_type,sponsor_name,application_number,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
REGN,2023-08-18,s08_fda_regulatory,REGENERON PHARMACEUTICALS,BLA761339,2023-08-09,775.5940860979437,60.0,2023-11-02,812.0825805664062,0.047045864740973276,0.04404586474097327,False,0.04404586474097327,False,0.04404586474097327,-0.03730371371553831,0.08134957845651158,
REGN,2023-08-18,s08_fda_regulatory,REGENERON PHARMACEUTICALS,BLA761339,2023-08-09,775.5940860979437,90.0,2023-12-15,852.1021728515625,0.09864449474922532,0.09564449474922532,False,0.09564449474922532,False,0.09564449474922532,0.05314805628749175,0.042496438461733566,
ABBV,2026-05-27,s08_fda_regulatory,ABBVIE INC,BLA761460,2026-05-15,213.10000610351562,30.0,,,,,,,,,,,exit_out_of_range
ABBV,2026-05-27,s08_fda_regulatory,ABBVIE INC,BLA761460,2026-05-15,213.10000610351562,60.0,,,,,,,,,,,exit_out_of_range
ABBV,2026-05-27,s08_fda_regulatory,ABBVIE INC,BLA761460,2026-05-15,213.10000610351562,90.0,,,,,,,,,,,exit_out_of_range
SCNX,2024-04-19,s08_fda_regulatory,SCIENTURE,NDA215487,2024-04-10,8.444513905196096,30.0,2024-05-22,5.645227909088135,-0.3314916675530014,-0.3344916675530014,True,-0.10299999999999998,False,-0.3344916675530014,0.03184175075145412,-0.36633341830445554,
SCNX,2024-04-19,s08_fda_regulatory,SCIENTURE,NDA215487,2024-04-10,8.444513905196096,60.0,2024-07-08,14.490972518920898,0.7160221040081753,0.7130221040081753,True,-0.10299999999999998,False,0.7130221040081753,0.0848942125915102,0.6281278914166651,
SCNX,2024-04-19,s08_fda_regulatory,SCIENTURE,NDA215487,2024-04-10,8.444513905196096,90.0,2024-08-19,8.369999885559082,-0.008823956058757187,-0.011823956058757187,True,-0.10299999999999998,False,-0.011823956058757187,0.09335393904734124,-0.10517789510609843,
PHAT,2024-07-17,s08_fda_regulatory,PHATHOM PHARMACEUTICALS INC,NDA218710,2024-07-08,10.34000015258789,30.0,2024-08-19,12.890000343322754,0.24661510184761948,0.24361510184761948,False,0.24361510184761948,False,0.24361510184761948,0.007507486659534601,0.23610761518808487,
PHAT,2024-07-17,s08_fda_regulatory,PHATHOM PHARMACEUTICALS INC,NDA218710,2024-07-08,10.34000015258789,60.0,2024-10-01,16.979999542236328,0.642166275789327,0.6391662757893269,False,0.6391662757893269,False,0.6391662757893269,0.026868952582913552,0.6122973232064134,
PHAT,2024-07-17,s08_fda_regulatory,PHATHOM PHARMACEUTICALS INC,NDA218710,2024-07-08,10.34000015258789,90.0,2024-11-12,9.520000457763672,-0.0793036443639693,-0.08230364436396931,True,-0.10299999999999998,False,-0.08230364436396931,0.07793986542758113,-0.16024350979155044,
CYTK,2025-12-19,s08_fda_regulatory,CYTOKINETICS,NDA219083,2025-12-10,61.560001373291016,30.0,2026-01-26,63.189998626708984,0.02647818741156116,0.02347818741156116,False,0.02347818741156116,False,0.02347818741156116,0.017898603630821075,0.005579583780740086,
CYTK,2025-12-19,s08_fda_regulatory,CYTOKINETICS,NDA219083,2025-12-10,61.560001373291016,60.0,2026-03-10,64.19999694824219,0.04288491741484246,0.03988491741484246,False,0.03988491741484246,False,0.03988491741484246,-0.004950554572582089,0.04483547198742455,
CYTK,2025-12-19,s08_fda_regulatory,CYTOKINETICS,NDA219083,2025-12-10,61.560001373291016,90.0,2026-04-22,66.25,0.07618581095002752,0.07318581095002752,False,0.07318581095002752,False,0.07318581095002752,0.04790732823131316,0.025278482718714357,
