ticker,event_date,setup_type,pct_of_52wk_high
XLI,2018-02-15,s04_sector_rebound_placebo,0.958
XLI,2018-03-09,s04_sector_rebound_placebo,0.9726
XLI,2019-06-18,s04_sector_rebound_placebo,0.9691
XLI,2019-09-05,s04_sector_rebound_placebo,0.9773
XLI,2019-10-11,s04_sector_rebound_placebo,0.973
XLI,2020-02-04,s04_sector_rebound_placebo,0.9787
XLI,2020-11-03,s04_sector_rebound_placebo,0.9564
XLI,2021-02-04,s04_sector_rebound_placebo,0.9779
XLI,2021-07-01,s04_sector_rebound_placebo,0.9803
XLI,2021-07-21,s04_sector_rebound_placebo,0.9843
XLI,2021-08-05,s04_sector_rebound_placebo,0.9797
XLI,2021-08-23,s04_sector_rebound_placebo,0.9805
XLI,2021-10-15,s04_sector_rebound_placebo,0.9781
XLI,2021-12-06,s04_sector_rebound_placebo,0.9702
XLI,2021-12-27,s04_sector_rebound_placebo,0.9841
XLI,2022-04-19,s04_sector_rebound_placebo,0.9504
XLI,2023-01-23,s04_sector_rebound_placebo,0.9691
XLI,2023-02-23,s04_sector_rebound_placebo,0.9754
XLI,2023-03-31,s04_sector_rebound_placebo,0.98
XLI,2023-04-17,s04_sector_rebound_placebo,0.9746
XLI,2023-05-05,s04_sector_rebound_placebo,0.9638
XLI,2023-06-02,s04_sector_rebound_placebo,0.9777
XLI,2023-08-29,s04_sector_rebound_placebo,0.9772
XLI,2024-04-23,s04_sector_rebound_placebo,0.9771
XLI,2024-06-20,s04_sector_rebound_placebo,0.9783
XLI,2024-07-11,s04_sector_rebound_placebo,0.9836
XLI,2024-08-08,s04_sector_rebound_placebo,0.9693
XLI,2025-01-17,s04_sector_rebound_placebo,0.9615
XLI,2025-02-05,s04_sector_rebound_placebo,0.9571
XLI,2025-02-28,s04_sector_rebound_placebo,0.9516
XLI,2025-09-04,s04_sector_rebound_placebo,0.9774
XLI,2025-09-18,s04_sector_rebound_placebo,0.9855
XLI,2025-10-14,s04_sector_rebound_placebo,0.9849
