ticker,event_date,setup_type,region,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
INTU,2024-01-31,s_quant_gate,US,2024-02-01,618.776063697041,30,2024-03-15,612.8970947265625,-0.009500963782201,-0.012500963782200999,False,-0.012500963782200999,False,-0.012500963782200999,0.055266999239191206,-0.06776796302139221,
INTU,2024-01-31,s_quant_gate,US,2024-02-01,618.776063697041,60,2024-04-29,626.3809814453125,0.01229025845446241,0.009290258454462411,False,0.009290258454462411,True,-0.03976179899974974,0.0557429541372223,-0.04645269568275989,
INTU,2024-01-31,s_quant_gate,US,2024-02-01,618.776063697041,90,2024-06-11,556.03955078125,-0.10138807332163935,-0.10438807332163935,True,-0.10299999999999987,True,-0.03976179899974974,0.11140106931398575,-0.2157891426356251,
ORA.PA,2015-06-22,s_quant_gate,EU,2015-06-23,8.089100020389212,30,2015-08-04,8.213257789611816,0.015348774141703547,0.012348774141703548,True,-0.10299999999999998,True,-0.06244407765022686,-0.013010079069668001,0.02535885321137155,
ORA.PA,2015-06-22,s_quant_gate,EU,2015-06-23,8.089100020389212,60,2015-09-15,7.462915897369385,-0.07741085181806151,-0.08041085181806151,True,-0.10299999999999998,True,-0.06244407765022686,-0.06448546863183058,-0.015925383186230935,
ORA.PA,2015-06-22,s_quant_gate,EU,2015-06-23,8.089100020389212,90,2015-10-27,8.450772285461426,0.044711063549788044,0.04171106354978804,True,-0.10299999999999998,True,-0.06244407765022686,-0.02105139133986922,0.06276245488965726,
MC.PA,2017-08-31,s_quant_gate,EU,2017-09-01,189.67766105014675,30,2017-10-13,206.6414031982422,0.08943458103698654,0.08643458103698654,False,0.08643458103698654,True,-0.030674581407416853,0.033459054217702455,0.05297552681928408,
MC.PA,2017-08-31,s_quant_gate,EU,2017-09-01,189.67766105014675,60,2017-11-24,213.30726623535156,0.12457769172384325,0.12157769172384325,False,0.12157769172384325,True,-0.030674581407416853,0.05538898371171186,0.06618870801213139,
MC.PA,2017-08-31,s_quant_gate,EU,2017-09-01,189.67766105014675,90,2018-01-10,208.1610107421875,0.09744610719948787,0.09444610719948787,False,0.09444610719948787,True,-0.030674581407416853,0.11684588340883528,-0.02239977620934741,
HNR1.DE,2016-05-02,s_quant_gate,EU,2016-05-03,65.31900462249672,30,2016-06-15,62.75251770019531,-0.03929158040809266,-0.042291580408092666,False,-0.042291580408092666,True,-0.04470086794499184,0.005955866705364743,-0.04824744711345741,
