ticker,event_date,n_insiders,drawdown_pct,setup_type,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
SCLX,2024-05-17,3,-0.6281,s07_insider_buying,2024-05-20,21.357410430908203,30,2024-07-03,39.2278938293457,0.836734559007001,0.833734559007001,False,0.833734559007001,False,0.833734559007001,0.04469469053011976,0.7890398684768812,
SCLX,2024-05-17,3,-0.6281,s07_insider_buying,2024-05-20,21.357410430908203,60,2024-08-15,27.02366065979004,0.26530605136855456,0.26230605136855456,False,0.26230605136855456,False,0.26230605136855456,0.047744793267757935,0.21456125810079663,
SCLX,2024-05-17,3,-0.6281,s07_insider_buying,2024-05-20,21.357410430908203,90,2024-09-27,20.507471084594727,-0.039795992546149406,-0.04279599254614941,True,-0.10299999999999998,False,-0.04279599254614941,0.08592262468611755,-0.12871861723226696,
SCOR,2021-08-11,3,-0.3743,s07_insider_buying,2021-08-12,63.20000076293945,30,2021-09-24,78.5999984741211,0.24367084691891683,0.24067084691891683,False,0.24067084691891683,False,0.24067084691891683,0.003859507119239325,0.2368113397996775,
SCOR,2021-08-11,3,-0.3743,s07_insider_buying,2021-08-12,63.20000076293945,60,2021-11-05,74.80000305175781,0.18354433779723323,0.18054433779723322,False,0.18054433779723322,False,0.18054433779723322,0.059535083165894065,0.12100925463133916,
SCOR,2021-08-11,3,-0.3743,s07_insider_buying,2021-08-12,63.20000076293945,90,2021-12-20,64.0,0.012658215623466695,0.009658215623466696,False,0.009658215623466696,False,0.009658215623466696,0.03250785439327064,-0.022849638769803945,
SCWO,2024-11-18,6,-0.4691,s07_insider_buying,2024-11-19,10.5,30,2025-01-03,7.0,-0.33333333333333337,-0.3363333333333334,True,-0.10299999999999987,True,-0.2554878376620551,0.01578956353343064,-0.352122896866764,
SCWO,2024-11-18,6,-0.4691,s07_insider_buying,2024-11-19,10.5,60,2025-02-19,3.799999952316284,-0.6380952426365444,-0.6410952426365444,True,-0.10299999999999987,True,-0.2554878376620551,0.051791401215325106,-0.6928866438518695,
SCWO,2024-11-18,6,-0.4691,s07_insider_buying,2024-11-19,10.5,90,2025-04-02,3.4000000953674316,-0.6761904671078637,-0.6791904671078637,True,-0.10299999999999987,True,-0.2554878376620551,-0.028366274757568366,-0.6508241923502953,
SDHC,2025-05-21,3,-0.3011,s07_insider_buying,2025-05-22,16.43000030517578,30,2025-07-08,19.850000381469727,0.20815581331526678,0.20515581331526678,False,0.20515581331526678,False,0.20515581331526678,0.06781655970366796,0.13733925361159882,
SDHC,2025-05-21,3,-0.3011,s07_insider_buying,2025-05-22,16.43000030517578,60,2025-08-19,20.530000686645508,0.24954353653774097,0.24654353653774097,False,0.24654353653774097,False,0.24654353653774097,0.1013308859971267,0.14521265054061427,
SDHC,2025-05-21,3,-0.3011,s07_insider_buying,2025-05-22,16.43000030517578,90,2025-10-01,18.010000228881836,0.0961655443918843,0.09316554439188429,False,0.09316554439188429,False,0.09316554439188429,0.15382011732299983,-0.060654572931115536,
SEI,2025-03-11,3,-0.3783,s07_insider_buying,2025-03-12,23.281664212065245,30,2025-04-24,19.831796646118164,-0.14817959465970043,-0.15117959465970043,True,-0.10299999999999998,True,-0.25593115339093875,-0.024610723912498078,-0.12656887074720236,
SEI,2025-03-11,3,-0.3783,s07_insider_buying,2025-03-12,23.281664212065245,60,2025-06-06,29.699073791503906,0.2756422187428067,0.2726422187428067,True,-0.10299999999999998,True,-0.25593115339093875,0.06896921184131788,0.20367300690148882,
SEI,2025-03-11,3,-0.3783,s07_insider_buying,2025-03-12,23.281664212065245,90,2025-07-22,27.986427307128906,0.20208018860720078,0.19908018860720078,True,-0.10299999999999998,True,-0.25593115339093875,0.12531170564988448,0.0737684829573163,
SEPN,2025-02-25,3,-0.7962,s07_insider_buying,2025-02-26,5.519999980926514,30,2025-04-09,5.610000133514404,0.016304375525157955,0.013304375525157956,True,-0.10299999999999998,False,0.013304375525157956,-0.07661920398764843,0.08992357951280638,
SEPN,2025-02-25,3,-0.7962,s07_insider_buying,2025-02-26,5.519999980926514,60,2025-05-22,9.479999542236328,0.7173912273537981,0.7143912273537981,True,-0.10299999999999998,False,0.7143912273537981,-0.018602838887982198,0.7329940662417803,
SEPN,2025-02-25,3,-0.7962,s07_insider_buying,2025-02-26,5.519999980926514,90,2025-07-08,11.34000015258789,1.0543478608281642,1.0513478608281643,True,-0.10299999999999998,False,1.0513478608281643,0.047179237960244036,1.0041686228679203,
SFBS,2023-04-21,3,-0.3135,s07_insider_buying,2023-04-24,47.793394175332836,30,2023-06-06,42.69933319091797,-0.10658504323269047,-0.10958504323269047,True,-0.10299999999999987,True,-0.09601763940687402,0.038933102905319705,-0.14851814613801018,
