ticker,event_date,setup_type,fomc_direction
XLU,2023-07-26,s14_rate_sensitivity,hike
VNQ,2023-07-26,s14_rate_sensitivity,hike
KRE,2023-07-26,s14_rate_sensitivity,hike
XHB,2023-07-26,s14_rate_sensitivity,hike
XLU,2023-09-20,s14_rate_sensitivity,hold
VNQ,2023-09-20,s14_rate_sensitivity,hold
KRE,2023-09-20,s14_rate_sensitivity,hold
XHB,2023-09-20,s14_rate_sensitivity,hold
XLU,2023-11-01,s14_rate_sensitivity,hold
VNQ,2023-11-01,s14_rate_sensitivity,hold
KRE,2023-11-01,s14_rate_sensitivity,hold
XHB,2023-11-01,s14_rate_sensitivity,hold
XLU,2023-12-13,s14_rate_sensitivity,hold
VNQ,2023-12-13,s14_rate_sensitivity,hold
KRE,2023-12-13,s14_rate_sensitivity,hold
XHB,2023-12-13,s14_rate_sensitivity,hold
XLU,2024-01-31,s14_rate_sensitivity,hold
VNQ,2024-01-31,s14_rate_sensitivity,hold
KRE,2024-01-31,s14_rate_sensitivity,hold
XHB,2024-01-31,s14_rate_sensitivity,hold
XLU,2024-03-20,s14_rate_sensitivity,hold
VNQ,2024-03-20,s14_rate_sensitivity,hold
KRE,2024-03-20,s14_rate_sensitivity,hold
XHB,2024-03-20,s14_rate_sensitivity,hold
XLU,2024-05-01,s14_rate_sensitivity,hold
VNQ,2024-05-01,s14_rate_sensitivity,hold
KRE,2024-05-01,s14_rate_sensitivity,hold
XHB,2024-05-01,s14_rate_sensitivity,hold
XLU,2024-06-12,s14_rate_sensitivity,hold
VNQ,2024-06-12,s14_rate_sensitivity,hold
KRE,2024-06-12,s14_rate_sensitivity,hold
XHB,2024-06-12,s14_rate_sensitivity,hold
XLU,2024-07-31,s14_rate_sensitivity,hold
VNQ,2024-07-31,s14_rate_sensitivity,hold
KRE,2024-07-31,s14_rate_sensitivity,hold
XHB,2024-07-31,s14_rate_sensitivity,hold
XLU,2024-09-18,s14_rate_sensitivity,cut
VNQ,2024-09-18,s14_rate_sensitivity,cut
KRE,2024-09-18,s14_rate_sensitivity,cut
XHB,2024-09-18,s14_rate_sensitivity,cut
XLU,2024-11-07,s14_rate_sensitivity,cut
VNQ,2024-11-07,s14_rate_sensitivity,cut
KRE,2024-11-07,s14_rate_sensitivity,cut
XHB,2024-11-07,s14_rate_sensitivity,cut
XLU,2024-12-18,s14_rate_sensitivity,cut
VNQ,2024-12-18,s14_rate_sensitivity,cut
KRE,2024-12-18,s14_rate_sensitivity,cut
XHB,2024-12-18,s14_rate_sensitivity,cut
XLU,2025-01-29,s14_rate_sensitivity,hold
VNQ,2025-01-29,s14_rate_sensitivity,hold
KRE,2025-01-29,s14_rate_sensitivity,hold
XHB,2025-01-29,s14_rate_sensitivity,hold
XLU,2025-03-19,s14_rate_sensitivity,hold
VNQ,2025-03-19,s14_rate_sensitivity,hold
KRE,2025-03-19,s14_rate_sensitivity,hold
XHB,2025-03-19,s14_rate_sensitivity,hold
XLU,2025-05-07,s14_rate_sensitivity,hold
VNQ,2025-05-07,s14_rate_sensitivity,hold
KRE,2025-05-07,s14_rate_sensitivity,hold
XHB,2025-05-07,s14_rate_sensitivity,hold
XLU,2025-06-18,s14_rate_sensitivity,hold
VNQ,2025-06-18,s14_rate_sensitivity,hold
KRE,2025-06-18,s14_rate_sensitivity,hold
XHB,2025-06-18,s14_rate_sensitivity,hold
XLU,2025-07-30,s14_rate_sensitivity,hold
VNQ,2025-07-30,s14_rate_sensitivity,hold
KRE,2025-07-30,s14_rate_sensitivity,hold
XHB,2025-07-30,s14_rate_sensitivity,hold
XLU,2025-09-17,s14_rate_sensitivity,cut
VNQ,2025-09-17,s14_rate_sensitivity,cut
KRE,2025-09-17,s14_rate_sensitivity,cut
XHB,2025-09-17,s14_rate_sensitivity,cut
XLU,2025-10-29,s14_rate_sensitivity,cut
VNQ,2025-10-29,s14_rate_sensitivity,cut
KRE,2025-10-29,s14_rate_sensitivity,cut
XHB,2025-10-29,s14_rate_sensitivity,cut
XLU,2025-12-10,s14_rate_sensitivity,hold
VNQ,2025-12-10,s14_rate_sensitivity,hold
KRE,2025-12-10,s14_rate_sensitivity,hold
XHB,2025-12-10,s14_rate_sensitivity,hold
