ticker,event_date,setup_type,consolidation_days,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
BLK,2026-03-04,s02_consolidation,17,2026-03-05,1028.1402221035555,30,,2026-04-17,1046.2442626953125,0.017608532574201252,0.014608532574201253,True,-0.10299999999999998,True,-0.07330753279780677,0.04398229792262387,-0.029373765348422617
BLK,2026-03-04,s02_consolidation,17,2026-03-05,1028.1402221035555,60,,2026-06-01,1015.0101928710938,-0.01277066002300542,-0.01577066002300542,True,-0.10299999999999998,True,-0.07330753279780677,0.11513542449990277,-0.1309060845229082
BLK,2026-03-04,s02_consolidation,17,2026-03-05,1028.1402221035555,90,exit_out_of_range,,,,,,,,,,
AVGO,2026-03-02,s02_consolidation,16,2026-03-03,311.85125792147716,30,,2026-04-15,396.0931091308594,0.27013471669430933,0.2671347166943093,False,0.2671347166943093,False,0.2671347166943093,0.0396875830768566,0.22744713361745272
AVGO,2026-03-02,s02_consolidation,16,2026-03-03,311.85125792147716,60,,2026-05-28,425.9059143066406,0.36573415526796427,0.36273415526796426,False,0.36273415526796426,False,0.36273415526796426,0.12087927028698076,0.2418548849809835
AVGO,2026-03-02,s02_consolidation,16,2026-03-03,311.85125792147716,90,exit_out_of_range,,,,,,,,,,
BRO,2026-01-26,s02_consolidation,15,2026-01-27,73.9129569897076,30,,2026-03-11,68.18012237548828,-0.07756197083303829,-0.08056197083303829,True,-0.10299999999999987,True,-0.05728992970997748,-0.02571370693565478,-0.05484826389738351
BRO,2026-01-26,s02_consolidation,15,2026-01-27,73.9129569897076,60,,2026-04-23,67.35255432128906,-0.08875849290310589,-0.09175849290310589,True,-0.10299999999999987,True,-0.05728992970997748,0.023343853480631838,-0.11510234638373773
BRO,2026-01-26,s02_consolidation,15,2026-01-27,73.9129569897076,90,,2026-06-05,58.86000061035156,-0.20365788344054703,-0.20665788344054703,True,-0.10299999999999987,True,-0.05728992970997748,0.0653782780945169,-0.27203616153506394
BRK-B,2026-01-16,s02_consolidation,22,2026-01-20,490.79998779296875,30,,2026-03-04,487.4800109863281,-0.006764419089678286,-0.009764419089678286,False,-0.009764419089678286,True,-0.028626806265314438,0.005341340381251003,-0.015105759470929288
BRK-B,2026-01-16,s02_consolidation,22,2026-01-20,490.79998779296875,60,,2026-04-16,475.1199951171875,-0.03194782613237446,-0.03494782613237446,False,-0.03494782613237446,True,-0.028626806265314438,0.03240880301655791,-0.06735662914893237
BRK-B,2026-01-16,s02_consolidation,22,2026-01-20,490.79998779296875,90,,2026-05-29,474.4800109863281,-0.03325178731162637,-0.03625178731162637,False,-0.03625178731162637,True,-0.028626806265314438,0.11306988668842122,-0.1493216740000476
ATO,2026-01-14,s02_consolidation,16,2026-01-15,167.4571526718734,30,,2026-03-02,186.01792907714844,0.11083895855821857,0.10783895855821857,False,0.10783895855821857,True,-0.030696421080746213,-0.011791517931418194,0.11963047648963676
ATO,2026-01-14,s02_consolidation,16,2026-01-15,167.4571526718734,60,,2026-04-14,187.10179138183594,0.11731143397890897,0.11431143397890897,False,0.11431143397890897,True,-0.030696421080746213,0.002572228348260097,0.11173920563064887
ATO,2026-01-14,s02_consolidation,16,2026-01-15,167.4571526718734,90,,2026-05-27,176.24000549316406,0.05244835876613996,0.049448358766139955,False,0.049448358766139955,True,-0.030696421080746213,0.08341780566624135,-0.0339694469001014
LNT,2026-01-13,s02_consolidation,15,2026-01-14,65.14857530943752,30,,2026-02-27,71.8024673461914,0.102134114294131,0.09913411429413099,False,0.09913411429413099,False,0.09913411429413099,-0.007250418412676596,0.10638453270680759
LNT,2026-01-13,s02_consolidation,15,2026-01-14,65.14857530943752,60,,2026-04-13,71.9712142944336,0.10472430060965188,0.10172430060965187,False,0.10172430060965187,False,0.10172430060965187,-0.004379574654911567,0.10610387526456344
LNT,2026-01-13,s02_consolidation,15,2026-01-14,65.14857530943752,90,,2026-05-26,73.68000030517578,0.1309533624521546,0.1279533624521546,False,0.1279533624521546,False,0.1279533624521546,0.08920389357493663,0.038749468877217974
AEE,2026-01-12,s02_consolidation,16,2026-01-13,98.93581451530466,30,,2026-02-26,110.4952621459961,0.1168378477230132,0.1138378477230132,False,0.1138378477230132,False,0.1138378477230132,-0.008900216439972408,0.1227380641629856
AEE,2026-01-12,s02_consolidation,16,2026-01-13,98.93581451530466,60,,2026-04-10,112.65589904785156,0.13867662180538787,0.13567662180538786,False,0.13567662180538786,False,0.13567662180538786,-0.02038038980584378,0.15605701161123164
AEE,2026-01-12,s02_consolidation,16,2026-01-13,98.93581451530466,90,,2026-05-22,110.51102447509766,0.11699716646091196,0.11399716646091196,False,0.11399716646091196,False,0.11399716646091196,0.07503542784811246,0.0389617386127995
ALLE,2026-01-07,s02_consolidation,19,2026-01-08,156.6587621932157,30,,2026-02-23,157.42271423339844,0.004876535659336545,0.001876535659336545,False,0.001876535659336545,False,0.001876535659336545,-0.009334763251480416,0.011211298910816962
ALLE,2026-01-07,s02_consolidation,19,2026-01-08,156.6587621932157,60,,2026-04-07,138.82769775390625,-0.11382104766867385,-0.11682104766867385,True,-0.10300000000000009,True,-0.04619753732466536,-0.04035845549805139,-0.07646259217062246
ALLE,2026-01-07,s02_consolidation,19,2026-01-08,156.6587621932157,90,,2026-05-19,125.6420669555664,-0.19798889512094275,-0.20098889512094276,True,-0.10300000000000009,True,-0.04619753732466536,0.06810755095194221,-0.26909644607288496
APD,2026-01-02,s02_consolidation,15,2026-01-05,246.2560027172759,30,,2026-02-18,280.6304931640625,0.13958843669793342,0.1365884366979334,False,0.1365884366979334,False,0.1365884366979334,-0.0003641315172323578,0.13695256821516577
APD,2026-01-02,s02_consolidation,15,2026-01-05,246.2560027172759,60,,2026-04-01,289.42999267578125,0.17532157381793034,0.17232157381793034,False,0.17232157381793034,False,0.17232157381793034,-0.04298439153976452,0.21530596535769486
