ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct
BRAG,2022-05-07,s09_short_squeeze_candidate,2022-04-29,21.83,-0.3148
BRAG,2022-11-08,s09_short_squeeze_candidate,2022-10-31,34.15,-0.4345
BRBS,2024-02-08,s09_short_squeeze_candidate,2024-01-31,23.02,-0.3132
BRCC,2024-11-08,s09_short_squeeze_candidate,2024-10-31,20.28,-0.4371
BRFH,2022-08-06,s09_short_squeeze_candidate,2022-07-29,26.94,-0.3403
BULLW,2026-04-08,s09_short_squeeze_candidate,2026-03-31,24.42,-0.5744
BURU,2026-03-07,s09_short_squeeze_candidate,2026-02-27,999.99,-0.6082
BYSI,2023-04-08,s09_short_squeeze_candidate,2023-03-31,20.37,-0.6328
BYSI,2023-10-07,s09_short_squeeze_candidate,2023-09-29,52.77,-0.3103
BYSI,2024-05-08,s09_short_squeeze_candidate,2024-04-30,41.53,-0.4463
BYSI,2024-08-08,s09_short_squeeze_candidate,2024-07-31,86.49,-0.4344
BYSI,2025-08-23,s09_short_squeeze_candidate,2025-08-15,92.55,-0.4059
BYSI,2026-02-21,s09_short_squeeze_candidate,2026-02-13,80.62,-0.4596
CABA,2021-08-07,s09_short_squeeze_candidate,2021-07-30,27.8,-0.3433
CAPR,2024-08-08,s09_short_squeeze_candidate,2024-07-31,22.77,-0.3556
CARM,2023-09-08,s09_short_squeeze_candidate,2023-08-31,31.29,-0.2708
CARM,2024-02-08,s09_short_squeeze_candidate,2024-01-31,22.92,-0.3598
CCGWW,2026-02-21,s09_short_squeeze_candidate,2026-02-13,999.99,-0.475
CCO,2023-04-22,s09_short_squeeze_candidate,2023-04-14,20.91,-0.4126
CCO,2024-05-08,s09_short_squeeze_candidate,2024-04-30,20.87,-0.298
CD,2023-12-08,s09_short_squeeze_candidate,2023-11-30,27.31,-0.4984
CD,2026-02-07,s09_short_squeeze_candidate,2026-01-30,24.98,-0.5348
CDRO,2022-03-23,s09_short_squeeze_candidate,2022-03-15,30.16,-0.3423
CDZI,2023-10-21,s09_short_squeeze_candidate,2023-10-13,20.4,-0.3254
CELU,2023-04-08,s09_short_squeeze_candidate,2023-03-31,22.51,-0.4609
CELU,2024-06-08,s09_short_squeeze_candidate,2024-05-31,26.01,-0.5532
CELU,2025-04-23,s09_short_squeeze_candidate,2025-04-15,26.56,-0.3434
CELZ,2026-03-07,s09_short_squeeze_candidate,2026-02-27,25.25,-0.2789
CGAU,2022-06-08,s09_short_squeeze_candidate,2022-05-31,21.73,-0.251
CGAU,2022-09-08,s09_short_squeeze_candidate,2022-08-31,35.71,-0.4459
CGEM,2025-02-08,s09_short_squeeze_candidate,2025-01-31,20.71,-0.3885
CHNR,2023-11-08,s09_short_squeeze_candidate,2023-10-31,21.5,-0.4179
CHRS,2024-09-21,s09_short_squeeze_candidate,2024-09-13,24.65,-0.2778
CHRS,2025-02-22,s09_short_squeeze_candidate,2025-02-14,26.61,-0.3099
CHRS,2025-06-07,s09_short_squeeze_candidate,2025-05-30,30.12,-0.3045
CHRS,2025-12-06,s09_short_squeeze_candidate,2025-11-28,28.21,-0.2527
CHRS,2026-03-07,s09_short_squeeze_candidate,2026-02-27,20.59,-0.3347
CIA,2023-01-21,s09_short_squeeze_candidate,2023-01-13,58.9,-0.289
CIA,2023-04-22,s09_short_squeeze_candidate,2023-04-14,30.92,-0.3693
CIA,2024-01-20,s09_short_squeeze_candidate,2024-01-12,73.8,-0.2568
