ticker,event_date,setup_type,reason,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
XYZ,2025-07-23,s06_index_inclusion,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[20],2025-07-24,79.44499969482422,30.0,,2025-09-05,74.94000244140625,-0.05670586280726575,-0.05970586280726575,True,-0.10299999999999998,True,-0.06694182898774503,0.01991796870564122,-0.07962383151290697
XYZ,2025-07-23,s06_index_inclusion,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[20],2025-07-24,79.44499969482422,60.0,,2025-10-17,75.19999694824219,-0.05343322755225066,-0.056433227552250664,True,-0.10299999999999998,True,-0.06694182898774503,0.04984558850583842,-0.10627881605808909
XYZ,2025-07-23,s06_index_inclusion,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[20],2025-07-24,79.44499969482422,90.0,,2025-12-01,64.3499984741211,-0.19000568039131793,-0.19300568039131794,True,-0.10299999999999998,True,-0.06694182898774503,0.07493849680209586,-0.2679441771934138
TTD,2025-07-18,s06_index_inclusion,S&P 500 constituent Synopsys Inc. acquired Ansys.[21],2025-07-21,80.0,30.0,,2025-09-02,54.18000030517578,-0.32274999618530276,-0.32574999618530276,True,-0.10299999999999998,True,-0.07658072060613041,0.01828965954229278,-0.34403965572759554
TTD,2025-07-18,s06_index_inclusion,S&P 500 constituent Synopsys Inc. acquired Ansys.[21],2025-07-21,80.0,60.0,,2025-10-14,50.72999954223633,-0.3658750057220459,-0.3688750057220459,True,-0.10299999999999998,True,-0.07658072060613041,0.05613496763920489,-0.4250099733612508
TTD,2025-07-18,s06_index_inclusion,S&P 500 constituent Synopsys Inc. acquired Ansys.[21],2025-07-21,80.0,90.0,,2025-11-25,39.09000015258789,-0.5113749980926514,-0.5143749980926514,True,-0.10299999999999998,True,-0.07658072060613041,0.07653261322745042,-0.5909076113201018
DDOG,2025-07-09,s06_index_inclusion,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[22],2025-07-10,142.8509979248047,30.0,,2025-08-21,129.14999389648438,-0.09591115377109494,-0.09891115377109494,True,-0.10299999999999987,True,-0.07625098900396188,0.018183236929391722,-0.11709439070048666
DDOG,2025-07-09,s06_index_inclusion,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[22],2025-07-10,142.8509979248047,60.0,,2025-10-03,151.82000732421875,0.06278576649590684,0.059785766495906834,True,-0.10299999999999987,True,-0.07625098900396188,0.07508065291720722,-0.015294886421300391
DDOG,2025-07-09,s06_index_inclusion,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[22],2025-07-10,142.8509979248047,90.0,,2025-11-14,185.00999450683594,0.2951256707651655,0.2921256707651655,True,-0.10299999999999987,True,-0.07625098900396188,0.07945028176938362,0.21267538899578187
COIN,2025-05-19,s06_index_inclusion,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[23],2025-05-20,265.1199951171875,30.0,,2025-07-03,355.79998779296875,0.34203377469020846,0.33903377469020846,True,-0.10299999999999998,True,-0.11032883385271697,0.05749325058114385,0.2815405241090646
