ticker,event_date,n_insiders,drawdown_pct,setup_type
EWTX,2022-09-16,3,-0.2946,s07_insider_buying
EYE,2023-05-22,3,-0.355,s07_insider_buying
FARM,2021-12-17,3,-0.2667,s07_insider_buying
FBIO,2023-02-10,4,-0.3091,s07_insider_buying
FDBC,2022-05-02,3,-0.284,s07_insider_buying
FGBI,2025-03-31,3,-0.3213,s07_insider_buying
FHN,2023-05-12,3,-0.6076,s07_insider_buying
FLL,2022-05-12,3,-0.4521,s07_insider_buying
FLUT,2026-05-08,4,-0.3451,s07_insider_buying
FOA,2021-08-19,3,-0.5062,s07_insider_buying
FOSL,2025-11-20,4,-0.4107,s07_insider_buying
FRD,2022-10-14,3,-0.3024,s07_insider_buying
FRPT,2021-11-29,3,-0.3145,s07_insider_buying
FTAI,2021-09-14,3,-0.2717,s07_insider_buying
FTCI,2023-11-15,3,-0.7502,s07_insider_buying
FTDR,2022-05-25,3,-0.26,s07_insider_buying
FTHM,2024-11-22,3,-0.3833,s07_insider_buying
FWRD,2023-08-17,4,-0.4697,s07_insider_buying
FXLV,2021-11-29,4,-0.3468,s07_insider_buying
GBCI,2023-03-13,3,-0.2533,s07_insider_buying
GCO,2023-05-30,3,-0.6176,s07_insider_buying
GE,2022-05-02,3,-0.2543,s07_insider_buying
GEHC,2026-05-01,3,-0.2754,s07_insider_buying
GEL,2021-08-09,3,-0.3368,s07_insider_buying
GENK,2024-03-11,4,-0.3263,s07_insider_buying
GETR,2022-12-13,3,-0.5464,s07_insider_buying
GHM,2022-02-10,3,-0.3341,s07_insider_buying
GIII,2022-12-05,3,-0.4332,s07_insider_buying
GL,2024-04-24,3,-0.3865,s07_insider_buying
GLND,2026-05-08,3,-0.7646,s07_insider_buying
GO,2025-03-03,3,-0.4278,s07_insider_buying
GOCO,2021-08-16,3,-0.5824,s07_insider_buying
GPGI,2026-03-17,3,-0.3353,s07_insider_buying
GRNT,2023-09-18,5,-0.2669,s07_insider_buying
GRWG,2024-08-14,3,-0.3356,s07_insider_buying
GT,2024-08-09,3,-0.4144,s07_insider_buying
GTLS,2023-03-20,3,-0.2713,s07_insider_buying
GTN,2022-11-11,3,-0.495,s07_insider_buying
HASI,2022-11-09,5,-0.3381,s07_insider_buying
HBIO,2026-03-17,3,-0.3835,s07_insider_buying
HDSN,2026-05-14,3,-0.3459,s07_insider_buying
HEPA,2026-04-21,4,-0.3548,s07_insider_buying
HIPO,2021-08-19,6,-0.5757,s07_insider_buying
HLF,2022-05-11,4,-0.5116,s07_insider_buying
HLIT,2025-02-13,3,-0.2854,s07_insider_buying
HLNE,2026-02-20,4,-0.3043,s07_insider_buying
HP,2025-02-18,3,-0.2776,s07_insider_buying
HPK,2023-07-19,8,-0.4382,s07_insider_buying
HQI,2022-06-16,3,-0.3793,s07_insider_buying
HQY,2021-12-15,3,-0.4167,s07_insider_buying
HRTG,2022-06-30,3,-0.6081,s07_insider_buying
HRTX,2023-11-16,3,-0.4682,s07_insider_buying
HUBS,2026-05-12,3,-0.3945,s07_insider_buying
HYLN,2022-11-18,3,-0.266,s07_insider_buying
HYPD,2025-12-18,3,-0.7464,s07_insider_buying
IBP,2026-05-11,4,-0.3961,s07_insider_buying
IDN,2022-11-21,3,-0.3512,s07_insider_buying
IE,2025-03-07,3,-0.3711,s07_insider_buying
IESC,2022-05-06,3,-0.4076,s07_insider_buying
IHRT,2022-05-12,3,-0.4406,s07_insider_buying
IMNM,2024-11-21,3,-0.4101,s07_insider_buying
IMUX,2025-06-04,3,-0.3945,s07_insider_buying
IMVT,2021-08-20,3,-0.4968,s07_insider_buying
INAB,2022-08-16,6,-0.3093,s07_insider_buying
INBK,2023-03-16,3,-0.298,s07_insider_buying
INDB,2023-05-04,3,-0.4179,s07_insider_buying
INFU,2024-05-23,3,-0.2895,s07_insider_buying
INMB,2024-04-19,4,-0.4026,s07_insider_buying
INSE,2026-03-26,3,-0.3004,s07_insider_buying
INTZ,2023-11-08,5,-0.5922,s07_insider_buying
INV,2025-12-02,3,-0.2626,s07_insider_buying
INVE,2024-05-23,3,-0.54,s07_insider_buying
IOVA,2022-05-31,4,-0.6318,s07_insider_buying
IPX,2026-03-27,4,-0.6149,s07_insider_buying
IRON,2023-02-15,3,-0.5454,s07_insider_buying
ITGR,2025-11-07,3,-0.3827,s07_insider_buying
JANX,2023-11-13,3,-0.4092,s07_insider_buying
JELD,2022-09-09,3,-0.3802,s07_insider_buying
JILL,2021-09-20,3,-0.3384,s07_insider_buying
JRVR,2022-03-03,3,-0.2948,s07_insider_buying
JSPR,2025-09-22,4,-0.6276,s07_insider_buying
JXN,2022-05-13,4,-0.3143,s07_insider_buying
KBR,2026-05-19,3,-0.2565,s07_insider_buying
KD,2021-11-29,3,-0.6,s07_insider_buying
KKR,2026-02-17,4,-0.2804,s07_insider_buying
KPLT,2021-08-11,5,-0.7314,s07_insider_buying
KREF,2023-05-12,3,-0.3135,s07_insider_buying
KSS,2022-08-24,3,-0.3704,s07_insider_buying
LC,2023-10-31,12,-0.3295,s07_insider_buying
LCII,2022-03-31,4,-0.3404,s07_insider_buying
LEG,2024-05-31,3,-0.4298,s07_insider_buying
LENZ,2026-03-27,3,-0.6051,s07_insider_buying
LESL,2024-08-29,3,-0.566,s07_insider_buying
LFMD,2021-11-30,3,-0.4822,s07_insider_buying
LIQT,2022-05-17,5,-0.9167,s07_insider_buying
LKFN,2023-05-08,3,-0.3591,s07_insider_buying
LNKB,2022-09-14,9,-0.2576,s07_insider_buying
LOCL,2021-12-02,5,-0.3399,s07_insider_buying
LOOP,2025-02-18,3,-0.3169,s07_insider_buying
LOWLF,2022-05-13,3,-0.3345,s07_insider_buying
LQDA,2022-05-24,3,-0.5536,s07_insider_buying
LTRX,2024-02-16,3,-0.3838,s07_insider_buying
LUCK,2025-05-09,3,-0.3172,s07_insider_buying
LUMN,2022-11-04,3,-0.4617,s07_insider_buying
LW,2025-01-13,3,-0.2608,s07_insider_buying
LXP,2022-05-11,3,-0.3083,s07_insider_buying
LXRX,2022-08-01,3,-0.2752,s07_insider_buying
LYEL,2025-03-17,3,-0.3042,s07_insider_buying
MAC,2022-09-26,4,-0.3205,s07_insider_buying
MAGN,2025-05-15,3,-0.398,s07_insider_buying
MCB,2023-03-13,4,-0.5954,s07_insider_buying
MEG,2023-03-03,3,-0.3177,s07_insider_buying
MERC,2024-09-09,3,-0.2604,s07_insider_buying
MGM,2024-08-05,3,-0.2717,s07_insider_buying
MIST,2022-10-20,4,-0.4495,s07_insider_buying
MKZR,2025-08-06,6,-0.6017,s07_insider_buying
MMSI,2026-05-06,3,-0.2573,s07_insider_buying
MNKD,2022-02-28,3,-0.4341,s07_insider_buying
MOVE,2023-06-13,3,-0.2647,s07_insider_buying
MRAI,2021-12-14,3,-0.2596,s07_insider_buying
MRBK,2023-05-05,4,-0.4608,s07_insider_buying
MSPR,2022-06-10,3,-0.8989,s07_insider_buying
MTX,2025-05-02,3,-0.3033,s07_insider_buying
MUR,2025-03-05,3,-0.2832,s07_insider_buying
MX,2024-03-12,3,-0.3064,s07_insider_buying
MXCT,2025-08-13,5,-0.4226,s07_insider_buying
NAUT,2021-08-24,3,-0.2948,s07_insider_buying
NAVN,2025-12-17,5,-0.3637,s07_insider_buying
NCLH,2025-11-06,5,-0.3229,s07_insider_buying
NEO,2025-05-05,3,-0.4563,s07_insider_buying
NEWT,2023-03-21,3,-0.3874,s07_insider_buying
NEXT,2025-09-16,3,-0.4192,s07_insider_buying
NGL,2022-12-13,3,-0.2903,s07_insider_buying
NGNE,2024-11-26,3,-0.6244,s07_insider_buying
NMRA,2023-09-19,4,-0.2953,s07_insider_buying
NNBR,2023-05-11,4,-0.3991,s07_insider_buying
NOG,2025-03-04,3,-0.3435,s07_insider_buying
NOTV,2022-02-17,4,-0.6494,s07_insider_buying
NRDE,2025-12-16,3,-0.4096,s07_insider_buying
NREF,2022-10-06,4,-0.3196,s07_insider_buying
NRG,2022-12-15,3,-0.2985,s07_insider_buying
NSA,2022-11-04,4,-0.3345,s07_insider_buying
NSP,2025-08-04,5,-0.3208,s07_insider_buying
NUVB,2025-06-16,3,-0.2648,s07_insider_buying
NVST,2023-11-08,3,-0.3502,s07_insider_buying
NWBI,2023-05-03,3,-0.2584,s07_insider_buying
NXPL,2022-12-14,3,-0.4517,s07_insider_buying
OABI,2022-11-09,3,-0.7323,s07_insider_buying
OFIX,2021-11-19,4,-0.2751,s07_insider_buying
OGN,2025-05-06,4,-0.434,s07_insider_buying
OLED,2026-05-11,3,-0.3091,s07_insider_buying
ONCY,2026-02-11,3,-0.3307,s07_insider_buying
ONL,2025-03-17,3,-0.4,s07_insider_buying
ONMD,2026-06-16,3,-0.5825,s07_insider_buying
ONON,2026-05-14,3,-0.2546,s07_insider_buying
OPAL,2022-12-14,3,-0.2585,s07_insider_buying
OPK,2022-05-12,3,-0.2533,s07_insider_buying
OPRX,2022-08-19,4,-0.468,s07_insider_buying
ORGN,2021-08-23,3,-0.3563,s07_insider_buying
ORGO,2021-11-18,3,-0.4215,s07_insider_buying
OSCR,2021-09-16,3,-0.267,s07_insider_buying
OSPN,2021-08-09,4,-0.2941,s07_insider_buying
OTLK,2021-12-03,3,-0.4743,s07_insider_buying
OUST,2023-05-16,3,-0.619,s07_insider_buying
PACK,2022-08-05,4,-0.6037,s07_insider_buying
PATK,2026-05-05,5,-0.38,s07_insider_buying
PCG,2025-02-25,3,-0.2626,s07_insider_buying
PCRX,2024-08-14,3,-0.6043,s07_insider_buying
PCSA,2025-01-27,3,-0.5467,s07_insider_buying
PEB,2025-05-23,3,-0.2811,s07_insider_buying
PETS,2023-11-09,3,-0.4252,s07_insider_buying
PEW,2025-08-20,3,-0.7013,s07_insider_buying
PFIS,2023-05-16,4,-0.2587,s07_insider_buying
PGEN,2023-01-27,4,-0.2511,s07_insider_buying
PGY,2024-04-04,4,-0.4374,s07_insider_buying
PHAT,2022-05-16,3,-0.5843,s07_insider_buying
PHGE,2021-07-28,3,-0.3261,s07_insider_buying
PICS,2026-03-26,3,-0.4047,s07_insider_buying
PL,2021-12-22,3,-0.4637,s07_insider_buying
PLAY,2022-10-11,3,-0.2815,s07_insider_buying
PNFP,2025-08-01,3,-0.2781,s07_insider_buying
PPTA,2025-02-24,3,-0.3727,s07_insider_buying
PRAA,2023-05-18,3,-0.5663,s07_insider_buying
PRCH,2022-11-18,3,-0.4414,s07_insider_buying
PRGS,2025-08-12,3,-0.3146,s07_insider_buying
PRLD,2023-05-23,4,-0.3288,s07_insider_buying
PRMB,2025-08-14,3,-0.2546,s07_insider_buying
PROP,2025-05-27,3,-0.4799,s07_insider_buying
PRPL,2022-03-04,3,-0.4405,s07_insider_buying
PTLO,2025-08-07,3,-0.4217,s07_insider_buying
PTN,2025-06-13,3,-0.8765,s07_insider_buying
PYPL,2021-12-03,3,-0.3728,s07_insider_buying
QDEL,2026-02-13,3,-0.3335,s07_insider_buying
QMCO,2021-08-12,3,-0.3714,s07_insider_buying
QNRX,2024-12-23,4,-0.4068,s07_insider_buying
QNST,2023-05-17,3,-0.5746,s07_insider_buying
QTI,2024-11-12,5,-0.431,s07_insider_buying
QTRX,2022-08-10,3,-0.5613,s07_insider_buying
RAIL,2022-05-11,3,-0.448,s07_insider_buying
RAL,2026-02-06,4,-0.2978,s07_insider_buying
RCUS,2025-02-27,3,-0.4499,s07_insider_buying
RDW,2025-11-14,3,-0.5178,s07_insider_buying
REPX,2021-09-09,3,-0.5942,s07_insider_buying
RGEN,2024-06-14,3,-0.3711,s07_insider_buying
RGP,2025-04-07,3,-0.4115,s07_insider_buying
RIG,2022-05-13,3,-0.2525,s07_insider_buying
RPAY,2022-05-18,3,-0.351,s07_insider_buying
RPD,2025-11-24,3,-0.3206,s07_insider_buying
RYAM,2023-05-15,3,-0.4482,s07_insider_buying
RZLT,2024-06-25,3,-0.3316,s07_insider_buying
SBIG,2023-05-31,6,-0.699,s07_insider_buying
SBSW,2026-03-24,3,-0.4412,s07_insider_buying
SCHW,2023-03-14,6,-0.3359,s07_insider_buying
SCLX,2024-05-17,3,-0.6281,s07_insider_buying
SCOR,2021-08-11,3,-0.3743,s07_insider_buying
SCWO,2024-11-18,6,-0.4691,s07_insider_buying
SDHC,2025-05-21,3,-0.3011,s07_insider_buying
SEI,2025-03-11,3,-0.3783,s07_insider_buying
SEPN,2025-02-25,3,-0.7962,s07_insider_buying
SFBS,2023-04-21,3,-0.3135,s07_insider_buying
SGC,2024-08-16,3,-0.391,s07_insider_buying
SHAK,2026-05-15,6,-0.423,s07_insider_buying
SHEN,2024-05-07,4,-0.2945,s07_insider_buying
SKIL,2022-12-19,3,-0.527,s07_insider_buying
SKIN,2023-08-16,3,-0.4224,s07_insider_buying
SLNH,2022-08-19,3,-0.5952,s07_insider_buying
SLQT,2021-08-30,4,-0.5911,s07_insider_buying
SM,2025-03-04,3,-0.3513,s07_insider_buying
SMBK,2023-05-04,3,-0.2886,s07_insider_buying
SMRT,2021-11-29,3,-0.2973,s07_insider_buying
SNAX,2021-08-20,3,-0.3602,s07_insider_buying
SNBR,2025-05-13,3,-0.5207,s07_insider_buying
SNDX,2025-05-19,3,-0.4322,s07_insider_buying
SNSE,2021-12-16,3,-0.5422,s07_insider_buying
SOFI,2022-03-17,3,-0.4414,s07_insider_buying
SPOK,2022-05-02,3,-0.277,s07_insider_buying
SRAD,2026-04-30,7,-0.3372,s07_insider_buying
SRFM,2024-12-23,3,-0.2955,s07_insider_buying
SRTS,2023-05-11,3,-0.6154,s07_insider_buying
SSII,2026-03-06,3,-0.2896,s07_insider_buying
SSKN,2024-07-15,3,-0.4393,s07_insider_buying
STEL,2023-05-03,3,-0.2604,s07_insider_buying
STEM,2024-03-15,3,-0.551,s07_insider_buying
STEX,2026-01-23,3,-0.334,s07_insider_buying
STGW,2025-06-04,3,-0.3222,s07_insider_buying
STRT,2026-05-12,3,-0.3096,s07_insider_buying
SVC,2026-04-02,4,-0.4641,s07_insider_buying
SVCO,2025-12-08,3,-0.4062,s07_insider_buying
SXC,2026-02-26,3,-0.3204,s07_insider_buying
TALO,2021-11-19,4,-0.3326,s07_insider_buying
TBBK,2024-05-03,3,-0.2911,s07_insider_buying
TBI,2023-10-27,3,-0.3121,s07_insider_buying
TCRX,2021-09-20,3,-0.5364,s07_insider_buying
TDUP,2024-09-06,3,-0.6433,s07_insider_buying
TELA,2022-06-10,3,-0.5497,s07_insider_buying
TEX,2023-10-31,3,-0.2794,s07_insider_buying
THFF,2023-05-09,3,-0.2789,s07_insider_buying
THRY,2026-03-13,3,-0.5204,s07_insider_buying
TKNO,2022-08-24,3,-0.5563,s07_insider_buying
TKO,2023-11-14,5,-0.2844,s07_insider_buying
TLPH,2026-02-12,4,-0.4452,s07_insider_buying
TLS,2023-05-16,3,-0.3481,s07_insider_buying
TMC,2022-03-30,4,-0.3197,s07_insider_buying
TNC,2026-03-02,3,-0.2675,s07_insider_buying
TNDM,2022-05-09,3,-0.4356,s07_insider_buying
TNYA,2022-11-21,4,-0.5166,s07_insider_buying
TROX,2025-08-01,3,-0.4444,s07_insider_buying
TXMD,2021-08-17,3,-0.446,s07_insider_buying
UA,2025-08-21,3,-0.2857,s07_insider_buying
UCTT,2025-03-07,5,-0.3533,s07_insider_buying
UEC,2023-03-24,3,-0.3484,s07_insider_buying
UFI,2022-05-18,3,-0.2849,s07_insider_buying
UGRO,2023-05-18,3,-0.5625,s07_insider_buying
UMBF,2023-03-13,3,-0.2892,s07_insider_buying
UNH,2025-05-15,3,-0.5423,s07_insider_buying
UPXI,2025-04-17,3,-0.4638,s07_insider_buying
USB,2023-05-05,3,-0.3728,s07_insider_buying
USPH,2022-09-06,3,-0.4114,s07_insider_buying
UTZ,2021-08-16,3,-0.2579,s07_insider_buying
UVE,2022-09-28,3,-0.288,s07_insider_buying
VAXX,2021-12-10,3,-0.5553,s07_insider_buying
VCNX,2022-01-27,3,-0.566,s07_insider_buying
VECO,2022-05-16,3,-0.2622,s07_insider_buying
VERA,2022-02-10,5,-0.5028,s07_insider_buying
VERX,2026-02-23,3,-0.4166,s07_insider_buying
VFC,2022-12-13,3,-0.2958,s07_insider_buying
VG,2025-03-11,3,-0.5963,s07_insider_buying
VGZ,2021-07-13,3,-0.3623,s07_insider_buying
VINC,2021-06-29,5,-0.3477,s07_insider_buying
VITL,2026-05-14,4,-0.7005,s07_insider_buying
VNRX,2024-12-09,4,-0.3295,s07_insider_buying
VNT,2022-11-04,3,-0.2752,s07_insider_buying
VRCA,2022-07-05,5,-0.72,s07_insider_buying
VRNS,2022-11-07,4,-0.4798,s07_insider_buying
VSTS,2024-05-06,3,-0.5548,s07_insider_buying
VTGN,2022-08-18,3,-0.812,s07_insider_buying
WBD,2022-04-27,3,-0.3828,s07_insider_buying
WBI,2026-01-06,3,-0.2741,s07_insider_buying
WBTN,2024-08-16,3,-0.4897,s07_insider_buying
WD,2026-03-18,3,-0.3094,s07_insider_buying
WGS,2023-01-31,3,-0.5833,s07_insider_buying
WKHS,2022-03-15,3,-0.3906,s07_insider_buying
WOLV,2022-03-14,4,-0.3333,s07_insider_buying
WULF,2022-04-11,3,-0.4929,s07_insider_buying
WWW,2022-12-09,3,-0.4854,s07_insider_buying
XELA,2021-12-09,3,-0.4626,s07_insider_buying
XERS,2021-11-11,3,-0.2702,s07_insider_buying
XOMA,2025-04-03,3,-0.2955,s07_insider_buying
XPL,2021-12-06,3,-0.2857,s07_insider_buying
XPOF,2023-08-11,3,-0.2788,s07_insider_buying
YEXT,2022-03-11,4,-0.4523,s07_insider_buying
ZD,2023-05-31,4,-0.2545,s07_insider_buying
ZETA,2024-11-18,6,-0.4671,s07_insider_buying
ZION,2023-05-03,3,-0.5832,s07_insider_buying
ZIVO,2025-10-13,3,-0.3056,s07_insider_buying
ZNTL,2025-02-06,3,-0.464,s07_insider_buying
ZTS,2026-05-13,3,-0.4305,s07_insider_buying
ZUMZ,2023-06-09,3,-0.2885,s07_insider_buying
