ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
SRZN,2022-06-08,s09_short_squeeze_candidate,2022-05-31,23.9,-0.3168,2022-06-09,39.150001525878906,60,2022-09-06,37.349998474121094,-0.04597708765267805,-0.04897708765267805,True,-0.10299999999999987,True,-0.1765999550530002,-0.041266496936003594,-0.007710590716674459,
SRZN,2022-06-08,s09_short_squeeze_candidate,2022-05-31,23.9,-0.3168,2022-06-09,39.150001525878906,90,2022-10-18,41.25,0.053639805677477614,0.05063980567747761,True,-0.10299999999999987,True,-0.1765999550530002,-0.08568863634352386,0.13632844202100147,
SRZN,2022-09-08,s09_short_squeeze_candidate,2022-08-31,48.91,-0.272,2022-09-09,38.54999923706055,30,2022-10-21,40.5,0.05058367837955213,0.04758367837955213,True,-0.10299999999999998,True,-0.23876544088116802,-0.06682343085636888,0.11440710923592101,
SRZN,2022-09-08,s09_short_squeeze_candidate,2022-08-31,48.91,-0.272,2022-09-09,38.54999923706055,60,2022-12-05,8.100000381469727,-0.789883254428636,-0.792883254428636,True,-0.10299999999999998,True,-0.23876544088116802,-0.0037456951997637544,-0.7891375592288723,
SRZN,2022-09-08,s09_short_squeeze_candidate,2022-08-31,48.91,-0.272,2022-09-09,38.54999923706055,90,2023-01-19,9.074999809265137,-0.7645914399774938,-0.7675914399774938,True,-0.10299999999999998,True,-0.23876544088116802,-0.02659656783605535,-0.7409948721414384,
SRZN,2025-03-22,s09_short_squeeze_candidate,2025-03-14,26.85,-0.319,2025-03-25,12.197999954223633,30,2025-05-07,9.25,-0.2416789609187422,-0.2446789609187422,True,-0.10299999999999998,True,-0.16720734591640507,-0.02459588972243032,-0.22008307119631187,
SRZN,2025-03-22,s09_short_squeeze_candidate,2025-03-14,26.85,-0.319,2025-03-25,12.197999954223633,60,2025-06-20,9.989999771118164,-0.18101329655612397,-0.18401329655612397,True,-0.10299999999999998,True,-0.16720734591640507,0.03604526081900894,-0.2200585573751329,
SRZN,2025-03-22,s09_short_squeeze_candidate,2025-03-14,26.85,-0.319,2025-03-25,12.197999954223633,90,2025-08-04,10.9399995803833,-0.10313169196272554,-0.10613169196272554,True,-0.10299999999999998,True,-0.16720734591640507,0.10035776279150999,-0.20648945475423552,
SSKN,2022-10-22,s09_short_squeeze_candidate,2022-10-14,33.89,-0.2712,2022-10-25,8.0,30,2022-12-07,8.600000381469727,0.07500004768371582,0.07200004768371582,False,0.07200004768371582,False,0.07200004768371582,0.03793656059922501,0.03406348708449081,
SSKN,2022-10-22,s09_short_squeeze_candidate,2022-10-14,33.89,-0.2712,2022-10-25,8.0,60,2023-01-23,9.100000381469727,0.13750004768371582,0.13450004768371582,False,0.13450004768371582,False,0.13450004768371582,0.06251400103894067,0.07198604664477515,
SSKN,2022-10-22,s09_short_squeeze_candidate,2022-10-14,33.89,-0.2712,2022-10-25,8.0,90,2023-03-07,10.699999809265137,0.3374999761581421,0.3344999761581421,False,0.3344999761581421,False,0.3344999761581421,0.056255201269711286,0.2782447748884308,
SSKN,2023-10-21,s09_short_squeeze_candidate,2023-10-13,31.26,-0.42,2023-10-24,6.0,30,2023-12-06,5.0,-0.16666666666666663,-0.16966666666666663,True,-0.10299999999999998,True,-0.26561129708460607,0.07597318244716145,-0.24563984911382808,
SSKN,2023-10-21,s09_short_squeeze_candidate,2023-10-13,31.26,-0.42,2023-10-24,6.0,60,2024-01-22,5.199999809265137,-0.13333336512247718,-0.13633336512247718,True,-0.10299999999999998,True,-0.26561129708460607,0.14849212307382986,-0.28482548819630704,
SSKN,2023-10-21,s09_short_squeeze_candidate,2023-10-13,31.26,-0.42,2023-10-24,6.0,90,2024-03-05,5.400000095367432,-0.0999999841054281,-0.1029999841054281,True,-0.10299999999999998,True,-0.26561129708460607,0.2048654877943623,-0.3078654718997904,
SST,2023-04-22,s09_short_squeeze_candidate,2023-04-14,21.05,-0.2541,2023-04-25,33.79999923706055,30,2023-06-07,45.0,0.3313609767972727,0.3283609767972727,True,-0.10299999999999998,True,-0.1464412072183403,0.03889622615743482,0.2894647506398379,
SST,2023-04-22,s09_short_squeeze_candidate,2023-04-14,21.05,-0.2541,2023-04-25,33.79999923706055,60,2023-07-21,39.79999923706055,0.17751479690630312,0.17451479690630312,True,-0.10299999999999998,True,-0.1464412072183403,0.10541119011259381,0.0691036067937093,
SST,2023-04-22,s09_short_squeeze_candidate,2023-04-14,21.05,-0.2541,2023-04-25,33.79999923706055,90,2023-09-01,18.5,-0.452662709538899,-0.455662709538899,True,-0.10299999999999998,True,-0.1464412072183403,0.10299100690015695,-0.5586537164390559,
SST,2024-10-23,s09_short_squeeze_candidate,2024-10-15,20.97,-0.2617,2024-10-24,10.100000381469727,30,2024-12-06,9.350000381469727,-0.07425742293792492,-0.07725742293792492,False,-0.07725742293792492,False,-0.07725742293792492,0.04798449479999167,-0.1252419177379166,
SST,2024-10-23,s09_short_squeeze_candidate,2024-10-15,20.97,-0.2617,2024-10-24,10.100000381469727,60,2025-01-23,8.40999984741211,-0.16732677923044714,-0.17032677923044715,True,-0.10299999999999987,True,-0.12278157662612332,0.054867775064153745,-0.2251945542946009,
SST,2024-10-23,s09_short_squeeze_candidate,2024-10-15,20.97,-0.2617,2024-10-24,10.100000381469727,90,2025-03-07,5.349999904632568,-0.4702970591517889,-0.4732970591517889,True,-0.10299999999999987,True,-0.12278157662612332,-0.0036582038363617286,-0.46963885531542715,
SST,2026-02-07,s09_short_squeeze_candidate,2026-01-30,23.23,-0.312,2026-02-10,3.7100000381469727,30,2026-03-25,1.5,-0.595687335693613,-0.598687335693613,True,-0.10299999999999998,True,-0.15326210971910603,-0.05228611976564157,-0.5464012159279714,
